,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex & Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker,Creditability,Creditability_predicted
0,0,2,4,0,2,0,4,0,1,0,3,0,3,0,0,2,2,0,1,0,0,0
1,0,1,2,3,0,1,1,3,0,0,2,3,3,2,1,0,1,0,1,0,0,0
2,1,1,2,2,0,3,1,0,1,0,3,0,0,2,0,0,1,0,0,0,1,1
3,3,1,2,7,0,4,3,3,1,0,2,1,4,2,1,0,2,0,1,0,1,1
4,1,2,2,3,0,0,2,3,1,2,3,0,2,2,1,0,1,1,0,0,1,0
5,1,3,0,8,3,0,4,1,1,0,3,3,4,1,2,1,3,0,1,0,0,0
6,1,1,4,3,0,0,4,1,0,0,3,0,3,2,1,2,1,0,0,0,1,1
7,3,0,0,3,0,0,4,3,0,0,3,2,3,2,1,0,1,0,0,0,1,1
8,0,0,2,2,1,0,2,0,0,0,1,0,3,0,1,0,1,0,1,0,1,1
9,2,2,4,2,2,4,4,3,0,1,3,3,0,2,0,1,2,0,0,0,1,1
10,3,0,2,3,1,0,3,1,0,0,1,0,2,2,0,0,2,0,0,0,1,1
11,3,2,2,1,3,4,0,1,1,0,3,1,2,2,0,0,3,0,1,0,1,1
12,0,1,1,3,1,0,2,3,0,0,0,3,2,2,2,0,2,0,0,0,0,1
13,3,3,2,1,2,2,2,3,0,0,3,2,1,2,1,0,2,0,0,0,1,1
14,0,3,4,2,3,2,2,0,1,0,3,2,1,2,1,1,2,0,0,0,0,1
15,0,1,4,3,0,0,3,3,1,0,2,0,5,2,1,3,1,0,1,0,1,1
16,0,2,1,2,1,0,2,3,0,0,2,2,4,0,1,0,2,0,0,0,0,0
17,3,2,2,3,2,2,4,2,0,0,1,2,3,2,1,0,3,0,1,0,1,1
18,0,2,2,3,1,4,3,1,0,0,3,2,1,2,0,1,1,0,0,0,1,1
19,3,2,4,0,1,3,4,3,0,0,3,0,6,2,1,0,2,0,1,0,1,1
20,3,3,4,0,2,0,3,3,0,0,3,2,3,2,1,1,2,0,1,0,1,1
21,1,2,2,2,2,0,3,1,1,0,3,0,4,2,0,0,2,0,0,0,1,1
22,3,1,4,3,0,4,4,3,0,0,3,0,6,2,1,3,2,0,0,0,1,1
23,3,3,4,1,2,4,4,3,0,0,2,2,3,2,1,1,2,1,1,0,1,1
24,1,2,1,0,0,1,2,1,0,0,1,1,1,2,0,0,2,0,0,0,0,0
25,1,2,0,8,3,0,2,0,0,0,3,0,3,2,1,2,1,0,1,0,0,1
26,0,2,2,0,0,0,1,3,1,0,2,2,1,2,0,0,2,0,1,0,0,0
27,1,3,3,0,3,0,2,1,1,0,1,1,5,2,0,0,2,0,0,0,1,1
28,1,3,2,3,2,0,3,3,0,0,3,0,2,2,1,1,2,0,0,0,0,1
29,0,1,4,0,2,0,2,1,0,0,1,0,3,2,0,1,2,1,0,0,1,1
30,0,2,2,3,1,0,2,2,1,0,1,0,1,2,1,1,2,0,1,0,0,0
31,3,2,2,0,2,0,4,3,1,1,3,3,6,2,2,0,2,0,1,0,1,1
32,0,2,2,1,3,0,0,3,0,0,1,3,2,2,2,0,3,0,1,0,1,0
33,1,2,0,0,1,0,1,1,1,0,0,0,2,2,0,1,0,0,0,0,0,0
34,1,2,2,8,1,3,1,2,0,0,2,0,3,0,1,0,2,0,1,0,1,1
35,1,1,2,3,0,0,4,3,0,0,3,2,3,2,1,1,1,0,0,0,1,0
36,1,3,2,2,2,1,2,1,1,1,3,2,1,0,0,0,2,0,0,0,0,0
37,2,2,2,3,0,2,2,2,1,0,2,2,5,2,1,0,1,0,0,0,1,1
38,0,3,0,1,3,0,4,2,0,0,3,3,1,2,2,1,2,1,0,0,0,0
39,3,3,2,0,0,2,4,3,0,0,3,1,3,2,1,0,2,0,0,0,1,1
40,3,2,2,3,0,0,4,3,0,0,0,0,3,2,1,0,3,0,1,0,1,1
41,0,2,2,0,1,0,4,3,0,1,0,0,4,2,1,0,2,0,0,0,0,0
42,0,2,2,2,2,0,1,3,0,0,0,3,1,0,2,0,2,0,0,0,1,1
43,1,3,4,1,3,1,0,2,0,0,3,2,2,2,1,0,2,0,0,0,1,1
